timestamp,​0x238e24C06313fC8176BC6C49a0EBE86c2b0aabb6,​0x9424BFC9F19d2c40d79Ca20094A7Da9d4024C44B,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x456974dF1042bA7A46FD49512A8778Ac3B840A21,​0xAfA5AA8648E645277500a388230Cc1985ed8C627,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0xfEA677f3b408700AE4ba6355C4885851867a29E3,​0x06E27Dd8706B2a471d43dd6debd78Ef72E388aCc,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0x4e04245c0Dbbd1d458aC3c2aFC976491983E44De,​0xF8341bf53e42DAc7b3E3516E0c6ef6003646DD6D,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0x1e30124FDE14533231216D95F7798cD0061e5cf8,​0x3A32ECf794C2172f47d0186bAEE4BfA74D2ebc9f,​0x048918b89189F68dA6146ddb6eEc63C649671c67,​0x25C40bC17E4BF2f8C23aCc99a7A38568f0890157,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x9021C84f3900B610ab8625d26d739e3B7bFf86aB,​0xA540fb50288cc31639305B1675c70763C334953b,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x36E5A96c8d01803d2C48756AA7bde1c01d7D9f8A,​0x6510B33A35AFCF6d1B1C7927139Eb9c08343d665,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0xFb9284715e9B0d08153caA34C35bfAed76edC31F,​0x3Fb2F18065926DdB33E7571475c509541d15dA0e,​0x0358629bD27FA559b88D0F41ea3dA28D057c3414,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x0a6bb2770450F8BB7Cc0b42ee859ac7f9177010D,​0x6c2d992b7739DFB363a473Cc4F28998b7f1f6dE2,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x22Acb809d08aE7c79F0b84513EfCE0577acFE514,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x889aBdD2bC0F3a884e607279bA132501698fbcd5,​0x7Aa29D3158BC446fABD3196f54C01f86321eae32,​0x22A1B26BFb867dfAB91B16F7872bCdF559D5427F,​0x0e115a21c34708fDA175cC9C924Ba42A6D87f95d,​0xADEEb9d09B8Bcee10943198FB6F6a4229bAB3675,​0x4CB2B6DcB8Da65F8421fEd3d44E0828E07594a60,​0x8c117a0661568a6189Dc65a53A5E1CC2312a22a3,​0x978aAD63FE35F7A72573c411C3dfF53608AaeaC9,​0x1eb3b6cf9e6f1F7CB0eEAfCea2aBD8016628e45b,​0x31E085Afd48a1d6e51Cc193153d625e8f0514C7F,​0x9F92473Cce5dd539C76fD79C78aE5c8fAf706134,​0x6a0c50788E462f322959A2458687096994d66316,​0x083855E63c4d885b1886c1596ea1C5f1bf819391,​0xcb9D1c05b5f848B67E80BD91Aee76ec7F81216db,​0x533344cFdF2a3E911E2CF4c6f5ED08e791F5355f,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0xEFe53909AFf7d1Af4936B1B7Dd2A6C3f24A02fd9,​0x591E9F22E2e925A5FEBbBF9DA7e7A632e877FE5c,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0xA694068FDfd382FA60c249e9A2B92a5548aD50EF,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x347dEE698fD3ECcd64E11EF11c9C141E0D957Ba8,​0x284620B56318d18Db45E40614556B9cB1d0dd92B,​0x03E86D24C462fa6aD88568053361186E4A5aF68e,​0xB27732Feae161E1f42cfcd2b716BbF7f987FB984,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,​0x53bba5c7872BFC4935cb4EEe63c1bA9BfC68212A,​0x762ed657B76372F8C08C6f7E0Aa4170658C4CA35,​0x5daEcc32Fc2e735cB1Ca6d0427F9eC71Bcb4F0eD,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x1680eD6A1fE73c673E778705355212235DeC3242,​0xB9D77A2BCB23850540C394df863D23BF17296CE8,​0x23983EA2123D40EB5655dfFf3F3C917C78F214f6,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x812D2e05aFb6E15a47355AC616fC69098B22C794,​0xDcF42a28b6d7e3377355B1e91a9b91708b83E2d5,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0x36691C4F426Eb8F42f150ebdE43069A31cB080AD,​0x8333331B3FE016653FF0ADB7b37E52f81A6E7382,​0xAc79b9E2A0Fc3DeD1fbf2Baf5F4AdA0d5a6E74cD,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x7B2eF92fDecdf4a156365EB78c9E92b44588Fe84,​0xc51a5024280d6AB2596e4aFFe1BDf6bDc2318da2,​0x00dEe1F836998bcc736022f314dF906588d44808,​0x97deC872013f6B5fB443861090ad931542878126,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x9799b475dEc92Bd99bbdD943013325C36157f383,​0x5CCb8c39bF68612C7997Cbc498ae55908D32d223,​0x094DaeEb1e59E42479449bD81f0c5088A93137Fe,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x05cDe89cCfa0adA8C88D5A23caaa79Ef129E7883,​0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,​0xc35A5FEc6BE6957899E15559Be252Db882220b37,​0x0780366ED1fd05d7e9a6aCD7867DeD8C68730F2c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xD1a06725e9fee446b4a49cEE85c9C213cC13F39A,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0x22fB3590Ca2b6a876D7fb655FC6e598Abf28d3E1,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x71A1dF0d820d29c784C04865904492aC38801A04,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0xbD2c8F386dA16351F5Eb883b78C5978a70CeE198,​0xF506828B166de88cA2EDb2A98D960aBba0D2402A,Other
1575519604000,,,85.30,,,,,,,,,,,39.29,,,,13.57,,2.20,,,,,,,,,,,,,,,27.13,,,,,,,,,,,17.38,,,,,,,,,,,6.32,2.54,,,,,,,,,,,,,2.77,4.29,,,,,,,,,,48.50,,,25.05,8.63,,41.47,,,32.20,,,55.11,2.06,,73.16,4.84,,,,,,,,,,494.32
1575596839000,,,1.35,,,,,,,,,,,48.50,,,,3.44,,17.68,,1.31,,,,,,,,,,,,,,,,,,,,,,,,9.87,,,,,,,,,17.58,,6.00,12.86,,,,,,,,,,,,,16.80,18.89,,,,,,,,,,,,,2.88,8.32,,12.32,,,,,,6.01,,,,,,,,,,,,,,158.62
1575673602000,,,2.59,,,,,,,,,4.82,,17.98,,,,28.31,,10.05,,65.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36,,5.78,,,,,,,,,,,,,,8.26,70.87,,,,,,,,,,,,,14.11,5.57,,29.01,,,,,,3.06,0.30,,37.60,,,,,,,,,,,355.59
1575749392000,,,0.87,,,,,,,,,,,7.47,,,,1.11,,38.04,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,,,,,,,,,,,1.70,2.15,,,,,,,,,,,,,,42.76,,,0.42,,,,,,,,,,11.88,4.05,,29.86,,,,,,,1.48,,7.03,0.64,,,,,,,,,,239.42
1575826602000,,,9.81,,,,,,,,,5.01,,8.98,,,,5.42,,0.20,,,,,,,0.03,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,15.15,,90.99,,,,,,,,,,,,,,5.47,,,,,,,,,,,,,,,0.69,,19.82,,,6.97,,,26.89,6.37,,20.30,,,,,,,,,,,272.76
1575903384000,,,0.55,,,,,,,,,4.79,,14.69,,,,4.30,,3.95,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.93,2.58,,,,,,,,,,,,,,27.37,,,,,,,,,,7.20,,,5.00,2.11,,75.79,,,,,,2.45,,,64.84,,,,,,,,,,,463.80
1575979374000,,,15.87,,,,,,,,,10.74,,13.53,,,,0.05,,0.85,,14.00,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,40.72,,,,,,1.01,,89.62,0.44,,,,,,,,,,,,,5.50,,,,0.87,,,,,,,7.78,,,23.01,8.39,,40.34,,,54.50,,,7.35,2.67,,28.66,,,,,,,,,,,410.80
1576056123000,,,7.65,,,,,,,,,,,28.72,,,,1.18,,36.99,,,,,,,,,,,,,,,9.04,,32.69,,,,,,,,,,,,34.54,,,,,,,,31.76,0.37,,,,,,,,,,,,,4.27,61.11,,,,,,,,,,0.16,,,71.90,0.28,,,,,,,,64.17,4.69,,29.63,3.47,,,,,,,,,,677.39
1576132843000,,,0.01,,,,,,,,,,,11.30,,,,16.01,,38.57,,,,,,,,,,,,,,,24.50,,55.02,,,,,,,,,10.83,,,35.13,,,,,,1.65,,15.78,2.24,,,,,,,,,,,,,13.06,111.57,,,0.22,,,,,,,115.70,,,54.49,,,,,,,,,90.71,1.40,,6.73,,,,,,,,,,,460.42
1576208669000,,,,,,,,,,,,,,16.71,,,,1.69,,9.00,,,,,,,,,,,,,,,4.60,,22.90,,,,,,,,,,,,41.55,,,,,,0.09,,0.21,0.23,,,,,,,,,,,,,7.25,44.39,,,,,,,,,,16.24,,,20.79,18.82,,,,,,,,204.69,0.70,,27.29,,,,,,,,,,,366.90
1576288118000,,,12.35,,,,,,,,,,,0.05,,,,0.92,,77.08,,,,,,,,,,,,,,,,,3.32,,,,,,,,,7.87,,,20.81,,,,,,21.66,,37.63,0.40,,,,,,,,,,,,,2.88,45.67,,,,,,,,,,8.62,,0.35,,3.47,,,,,,,,259.18,0.70,,3.76,0.02,,,,,,,,,,244.76
1576372313000,,,4.17,,,,,,,,,,,45.02,,,,,,0.42,,,,,,,,,,,,,,,,,81.42,,,,,,,,,2.03,,,14.16,,,,,,3.38,,8.70,1.29,,,,,,,,,,,,,5.76,29.23,,,,,,,,,,,,0.20,,0.14,,,,,,,,225.82,1.41,,15.27,0.88,,,,,,,,,,243.14
1576456679000,,,,,,,,,,,,,,14.78,,,,0.31,,1.03,,,,,,,,,,,,,,,37.50,,,,,,,,,,,6.63,,,42.39,,,,,,,,19.87,,,,,,,,,,,,,,8.55,10.89,,,0.76,,,,,,,0.72,,9.53,11.04,13.39,,,,,7.93,,,354.46,,,41.46,0.99,,,,,,,,,,508.20
1576541361000,,,119.95,,,,,,,,,,,188.41,,,,23.83,,75.93,,151.55,,,,,,,,,,,,,129.06,,218.72,,,,,,,,,1.60,,,112.85,,,,,,75.66,,24.69,6.05,,,,,,,,,,,,,11.69,81.03,,,110.33,,,0.10,,,,13.28,,68.23,95.56,3.85,,,,,47.70,,,265.67,4.45,,210.27,,,,,,,,,,,1272.40
1576627001000,,,44.92,,,,,,,,,5.84,,28.00,,,,9.09,,123.16,,65.28,,,,,2.60,,,,,,,,144.79,,278.43,,,,,,,,,3.10,,,88.10,,,,,,105.93,,159.54,6.88,,,,,,,,,,,,,31.06,611.00,,,6.47,,,0.87,,45.00,,297.05,,85.14,106.45,11.79,,,,,18.99,,,236.21,3.21,,128.03,,,,,,,,,,,1204.40
1576713534000,,,110.54,,,,,,,,,6.69,,157.77,,,,0.03,,31.48,,84.39,,,,,,,,,,,,,207.67,,438.17,,,,,,,,,13.75,,,74.78,,,,,,58.88,,254.07,6.82,,,,,,,,,,,,7.82,34.76,412.08,,,0.79,,,,,64.00,,54.44,,226.89,174.78,5.78,,,,,80.32,,,471.25,2.96,,263.46,12.05,,,,,,,,,,1392.82
1576799699000,,,14.23,,,,,,,,,2.74,,39.90,,,,0.25,,21.42,,10.13,,,,,,,,,,,,,113.31,,80.99,,,,,,,,,4.80,,,171.00,,,,,,46.29,,33.04,6.43,,,,,,,,,,,,,17.97,144.36,,,,,,18.17,,,,17.01,,22.03,62.75,16.79,,,,,8.98,,,328.06,1.56,,150.76,0.20,,,,,,,,,,882.93
1576886273000,,,2.68,,,,,,,,,6.11,,27.22,,,,0.97,,0.05,,57.22,,,,,,,,,,,,,78.00,,75.05,,,,,,,,,0.46,,,31.32,,,,,,,,27.12,0.26,,,,,,,,,,,,,13.00,127.97,,,,,,,,,,,,5.90,6.35,8.36,,,,,8.78,,,210.12,1.57,,99.90,,,,,,,,,,,724.58
1576971438000,,,4.08,,,,,,,,,,,4.87,,,,4.16,,19.87,,,,,,,,,,,,,,,,,100.06,,,,,,,,,2.38,,,23.55,,,,,,16.54,,24.08,0.68,,,,,,,,,,,,,6.54,18.83,,,44.90,,,,,,,50.93,,6.98,,35.84,,,,,,,,101.84,,,80.90,,,,,,,,,,,392.24
1577057861000,,,,,,,,,,,,3.21,,37.33,,,,0.56,,13.54,,,,,,,,,,,,,,,,,54.37,,,,,,,,,,,,62.06,,,,,,,,56.25,,,,,,,,,,,,,,17.58,65.70,,,0.63,,,0.11,,,,23.70,,3.37,,6.41,,,,,7.46,,,48.81,1.50,,79.21,2.74,,,,,,,,,,264.67
1577143907000,,,26.91,,,,,,,,,,,21.85,,,,9.18,,19.44,,12.99,,,,,,,,,,0.00,,,,,582.08,,,,,,,,,,,,82.98,,,,,,33.23,,40.55,,,,,,,,,,,,,,15.72,31.22,,,0.70,,,6.25,,,,,,2.16,63.02,10.38,,,,,193.69,,,278.02,1.91,,204.75,7.01,,,,,,,,,,389.09
1577229621000,,,,,,,,,,,,,,27.06,,,,13.69,,,,,,,,,2.34,,,,,,,,14.03,,12.66,,,,,,,,,12.91,,,101.56,,,,,,,,24.53,0.00,,,,,,,,,,,,,13.02,,,,1.01,,,,,,,6.47,,1.70,48.80,9.74,,,,,,,,62.73,2.33,,29.91,0.83,,,,,,,,,,339.99
1577315631000,,,0.22,,,,,,,,,,,234.71,,,,3.71,,0.24,,,,,,,,,,,,,,,5.02,,51.04,,,,,,,,,,,,72.12,,,,,,21.03,,39.01,,,,,,,,,,,,,,22.99,,,,0.46,,,,,,,19.01,,16.49,22.36,6.86,,,,,68.17,,,86.80,1.94,,61.25,,,,,,,,,,,399.86
