timestamp,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x5A1CbD3227277fAe4f3ABd4d091E058de50e6Ac4,​0x82Ea7356518127A961923f46b49E0251F6843409,​0x2130FD01026867A6c8DdE24ad5E64F2e2DFce196,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xf08f1bdFBA4358Ba7738f2F2b09738a13cCDf04C,​0xfA5073140A1C8A1728716E78CCfA2dA514045D3C,​0xadfA51248ae5F82008C188CA3f329D4cADdAd1Ec,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x4e6F2b5e8d84AF5c5ff21Dd7e376BAf6B17e3dea,​0xA824233b7956DB5bAFA5a2CB813C1414A6Fa3E67,​0x3B3C74C5aE9415CEa88C81014B80979a61b7B464,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0xaed8810b3f7367d63a6d6fD86dfb1878552D9D07,​0x7D77e6Fe8cd921e4A89ad735A3A722b1f84dc32b,​0xfc1b61Aebe657d33DF261DB89AADd767515600C6,​0x4c4D6FB5234E748F9d8782E37E686FBfe52dC765,​0x97deC872013f6B5fB443861090ad931542878126,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x66ace6CAa9Ec944735F73ed592a5E1ed22293F3a,​0x0f75EC23c26f6D00D8c12D8D6dFE6633Adb224Ef,​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x6968a989E0fb2D1725c7e2B5b8ae8A79706a03C2,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,Other
1580645575000,,,,,,,,,,,,,,,,,,,,,0.52,,,,,
1580711822000,0.11,5.88,,,,,8.31,,0.32,,2.42,,,,,,,0.96,,,,,,,,0.11
1580778615000,,0.20,,,0.16,,,,,,0.97,,,,0.03,,,,,,,1.14,,,,
1580844182000,,0.20,,,,,,,,,,,,0.40,,0.12,,,,,,,,,,
1581043789000,,,,1.56,,,,,,,,,,,,,,,,,,,,,,
1581110121000,,,,,,,,,,,,0.17,,,,,,,,,,,,,,
1581177428000,,0.17,,0.17,,,,,,0.17,,,,0.40,,,,,,0.51,,,,,,
1581243665000,,0.17,,,,,,,,,,,,,,,,,,,,,,,,
1581310184000,,0.18,,,,,,,,,,,,,,,,,,,,0.09,,,,
1581375300000,,0.18,,,,,,,,,,,,,0.03,,,,,,,,,,,
1581441429000,,0.18,,,,,,,,,,,,,,,,,,,,,,,,
1581574720000,,0.18,,,,,,,,,,,,,,,,,,0.36,,,,,,0.00
1581641265000,,,,0.85,,0.16,,,,,,,,,,0.12,,,,,,0.16,,,,
1581841298000,,0.16,,,,,,,,,,,,,,,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1582571821000,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
1582638796000,,,,,0.17,,,,,,0.36,,,,,0.10,,,,,,,,,,
1582771019000,,,,,,,,,,,4.08,,,,,,,,,,,0.34,,0.14,,
1582837876000,,,,,,,,,,,,,,0.46,,0.50,,,,,,1.75,,,,
1582904573000,,,0.59,,,0.19,,,,,,,,,,,,,,,,,,,,
1583036689000,,,,,,0.18,,,,,0.38,,,,,0.11,,,,,,0.18,,,,
1583168974000,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
1583302077000,,,0.96,0.96,,,,,,,0.38,,,,,0.39,,,,,,,,,,
1583368317000,,,,,,,,,,,0.38,,,,0.08,0.15,,,,,,0.19,,,,
1583435384000,,,,,,0.39,,,,,,,,,,,,,,,,,,,,
1583502285000,,,,,,,,,,,0.38,,,,,,,,,,,,,,,
1583567810000,,,,,,,,,,,0.37,,,0.40,,,,,,,,,,,,
1583833348000,,,,,,,,,,,0.39,,,,,,,,,,,,,,,
1583900197000,,,,0.31,,,,,,,,,,,0.03,,,,,,,,,,,
1583966404000,,,,0.32,,,,,,,,,,,,,,,,,,,,,,
1584100621000,,,,0.65,,,,,,,,,,,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,0.22,,,,,,,,,,,,
1584234522000,,,,,,0.22,,,,,,,,,,,,,,,,,,,,
1584300469000,,,,,,,,,,,0.84,,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,,,0.23,,,,,,,,,,,,
1584500082000,,,,,,,,,,,0.43,,,,,,,,,0.68,,,,,,
1584699859000,,,,,,,,,,,,,,,,,,,,0.43,,,,,,
1584970249000,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
1585306138000,,,0.08,,,,,,,,,,,,0.03,,,,,,,,,,,
1585770840000,,,,,,0.22,,,,,,,,,,,,,,,,,,,,
1586301955000,,,,,,,,,,,3.39,,,,,,,,,,,,,,,
1586368858000,,,,,,,,,,,,,,1.01,,0.21,,,,,,0.68,,,,
1587033174000,,,,1.39,,,,,,,,,,,,,,,,,,,,,,
1587434258000,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
1587701744000,,,,,,,,,,,14.81,,,,,,,,,,,,,,,
1587768625000,0.12,,0.16,,,,,,,,,,,3.50,0.62,0.20,,,,,,1.97,,,,
1588104246000,,,,,,,,,,,,0.23,,,0.04,,,,,,,,,,,
1588638430000,,,,,,0.13,,0.11,,,,,,,,,,,,,,,,,,
1588839881000,,0.23,,,,,,,,,,,0.41,,,,,,,,,,,,,
1588972800000,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1589308656000,,,,,,,,,,,,0.23,,,,,,,,,,,,,,
1589375621000,,0.18,,,,,,,,,,,,,,,,,,,,,,,,
1589442351000,,0.23,,,,,,,,,,0.35,,,,,,,,,,,,,,
1589509055000,,,,,,,,,0.12,,,,,,,,,,,,,,,,,
1589778055000,,0.24,,,,,,,,,,,,,,,,,,,,,,,,
1589845567000,,0.23,,,,,,,,,,0.47,,,,,,,,,,,,,,
1589913105000,,0.22,,,,,,,,,,1.12,,,,,,,,,,,,,,
1590316431000,,,,,,0.40,,,,,,,,,,,,,,,,,,,,
1591122115000,,,2.22,,,,,,,,,1.51,,,,,,,0.56,,,,,,,
1591256276000,,,,,,,,,,,,0.17,,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,0.15,,,,,,,,0.38,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591658478000,,,,,,0.11,,0.09,,,,,,,,,,,,,,,,,,
1591725334000,,,,,,,,,,,,,,,,,0.15,,,,,,,,0.22,
1591793059000,,,,,,,,,,,,0.23,,,,,,,,,,,,,0.17,
1591859571000,,,,,,,,,,,,0.32,,,,,,,,,,,,,,
1592393573000,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
1592861502000,,,,,,0.59,,,,,,,,,0.22,,,,,,,0.15,,,0.21,
1593396882000,,0.23,,,,,,,,,,,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,0.11,,,0.08,,,,,,,,,,,
1594067228000,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
1596140024000,,,,,,,,,,,,,,,0.15,,,,,,,0.08,,,,
1596874169000,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
1598138530000,,,,,,,,,,0.08,,,,,,,,,,,,,,,,
1598602302000,,,,,,,,,0.84,,,,,,0.16,,,,,,,,,,0.33,
