timestamp,​0xD43CA49702D9aF6273C0c485B78ca221dE0EA161,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0x49c4f9bc14884f6210F28342ceD592A633801a8b,​0x9c000e3c12D3B03720c24616BdbC5CC4781Ca114,​0x9f62d05994Eb6CF29f00fB1A5bCaD1BD01006Bad,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0xf68BCcE8CFD7ac8967afddA4A311A5C720D2bCE4,​0x97e7f9f6987D3b06E702642459F7C4097914Ea87,​0x7233E0D88Eb304ECD1156089e1d39bBDb1223463,​0x97be59b7Fa961Ef52210939591D9cf01Ba24Ba40,​0x32fD5b239e611133d2fC7a533E545e9A7762fb66,​0x622E485D8DfEB09BD7fE1Efcc3f51E733A84c103,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x97deC872013f6B5fB443861090ad931542878126,​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,​0xCD97c94D8823eF5689236590434f59883E08dCf8,​0x52cA93AFcC8bA54f7e5c08dC7371A2C51Bd55df6,​0x9cd80322Ffa47714885E0585aa474D3aA275cbeD,​0x8924a229e2191B06EA1aED8EBa5382eBf352F190,​0xC6a82e72156A11a2E1634633aF5E4517B451f0D9,​0xDD0Ae472337D8b3E63a60FceD8ae4BE36093598f,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0xaE689CfE1eF67CC70649C7eaC35c86521D4B4bA4,​0x7Ee567D2AC5dca4c422281Deb1e2334a805BA6C1,​0xf0bBbEe03f89d344B9C385a822016Ec22C84f1e6,​0x8c739e5Bf512f2DbB0293971c81c9fC4bf1Af8D6,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0x12F755C5070CADCf1A040a69AcfD924A3F505c26,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0x035ec1430Ca12145343dC226D27BaFc624A82395,​0xCbCaD28f67a828a1B8750D6C65248302659d01A8,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,​0x68A8FB23e6fe18D29DA22929c75BE33e43bd81B3,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0xC29969B398Ff2A42e0280e783B83Be3557c38b1e,​0xc215EbFE68C15FCAFCb848105eF5f5B1158313CB,​0x4c40aE4a0cf63D32eeb92C5950f7643afd480c0e,​0x26cf57630ada571e66bB42c0f2137d6838d43064,​0x51A7EaD10340AF963C3124b026b86dd2807c2b1C,​0x0b4523368EF3B690F7f77D574c34304218F4602B,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xAfA3A4921910B57D86172373Eb61Cd7ba29a6954,​0x0E26D3d76a8c2ff2978859915519041eFd124Ab1,​0xcfFB64b3957b62e52A548422825697953d601D61,​0xF0029d6E49F2Ea682BB54044a622749b9b63635c,Other
1585571105000,,,,,,,1.61,,,,,,,,2.75,,,,,,,,,,,,0.56,,,,,,,0.55,,,,,,,,,,,,,1.09,
1585637238000,,,,,,,,,,,,,,,0.52,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585704243000,,,,,,,,,,,,,,,0.52,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585770840000,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585836257000,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585903293000,,,,,,,,,,,,,,,0.97,,,1.50,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,
1585969610000,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,
1586169028000,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586236183000,,,,,,0.86,,,,,,,,,,,,0.90,,,,0.44,,,,,,,,,,,,,0.40,,,,,,,,,,,,,
1586301955000,,,,,,,,,2.05,,,,,,2.06,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1586368858000,,,,,,,,,,,,,,,0.41,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,
1586434964000,,,,,,0.41,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,
1586568529000,,,,,,,,,,,,,,,2.18,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586635021000,,,,,,,,,,,,,,,0.44,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586701369000,,,,,,,,,,,,,,,0.44,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586767741000,,,,,,,,,,,,,,,2.20,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586966921000,,,,,,,,,,,,,,,0.88,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587033174000,,,,,,0.85,,,,,,,,,1.35,,,1.78,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,
1587099968000,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587234387000,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,
1587368133000,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587434258000,,,,,,,,,,,,,,,1.60,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587902337000,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,
1587969951000,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588170340000,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,
1588305064000,,,,,,,,,,,,,,,2.13,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588371539000,,,,,,,,,,,,,,,0.05,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588572377000,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588638430000,,,,,,,,,,,,,,,0.69,,,1.02,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,
1588705743000,,,,,,,,,,,,,,,0.34,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588771981000,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1588839881000,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588906152000,,,,,,1.35,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,
1588972800000,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589107927000,,,,,,1.00,,,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,
1589174391000,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589241093000,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,0.23
1589509055000,,,,,,,,,,0.69,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589576701000,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,
1589644333000,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589711000000,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589778055000,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,
1589913105000,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590047677000,,,,,,,,,,,,,,0.65,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590113970000,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590181994000,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,
1590248502000,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,1.29,,,,,,
1590316431000,,,,,,,,,,,,,,1.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590383553000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
1590517845000,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590652494000,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590719602000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,
1590853669000,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590919824000,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591122115000,,,,,,0.87,,,,,,,,,1.69,,,,,,,,,,,,,0.55,,,,,,,,,,,,,0.68,,,,,,,
1591256276000,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,0.28,,,,,
1591323776000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591859571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,
1591926628000,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591993124000,,,,,0.29,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592060020000,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,
1592126059000,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592193218000,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592259061000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,,,,0.03
1592326391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,
1592594022000,,,,,,,,,,,,,,,0.62,,,,,,,,,,,0.54,,,,2.73,,,,,,,,,,,,,0.27,,,,,
1592661070000,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592727831000,0.58,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592861502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,0.28,,,,,,,,,,,,
1592927890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,
1592995513000,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593128647000,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593195376000,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593330837000,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593396882000,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,
1593464751000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,
1593599509000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,
1593666201000,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,1.57,,,0.48,,,,,,,,,,,,
1593732971000,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593800162000,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,0.27,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,
1594067228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,
1594266589000,,,,,,,,,,,,,,,0.28,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,
1594467342000,,,,,,0.27,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594534363000,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594734577000,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594801444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
1595135940000,,,,,,,,,,,,,,,0.86,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
1595338300000,,,,,,,,,,,,2.71,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595405073000,,,,,,0.58,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595471028000,,,,,,0.84,,,,,,,,,,,0.85,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595537940000,,,,,,,,,,,,,,,,,0.42,,,,,1.57,,,,,0.28,,,,,,,,,,,,,,,,,,0.82,,,
1595672114000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,
1595738927000,,,,,,0.48,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,
1595805432000,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595872747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,
1596207016000,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596339947000,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,0.42,,,,,,,,,,,,,0.85,,,,,,0.20
1596540683000,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,
1596674074000,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597140607000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,
1597406581000,,,,,,,,,,,,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597539439000,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,1.27,0.14,,,,,,,,,,,,,,,,,,
1597872975000,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,
