timestamp,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x859b1fDF23485f03eE54D3F942D5D05e1A6e9676,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0xbcdCD3f4576440840a66076A8ECFeFA8123c8CB2,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x202F6106F293AF455412Eb41c443d13adB6867A9,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x40ddBf3BdE9c33661C8B4a4E9045eE7Ade9E7102,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0x0668C3BE26661f11d64a38aDDb4d2d8bEb5788F8,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x0000000000C90bc353314b6911180ED7E06019A9,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x5827696E05e587Ba62d2C0773AcE3426895E3155,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x778FDaf34BB5993D69968f541152451241Fab7e3,Other
1556415030000,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,0.51,
1556482542000,,,,,,,,,,,,,,,0.40,,,,,,,,,,,1.80,,,,,,,,,,,,
1556549842000,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
1556616633000,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,0.51,,,,,,,,1.29,
1556684172000,,,,,,,,,,,,,,,0.40,,,,,,,,,,0.48,0.90,,,1.29,,,,,,,,,
1556750704000,,,,,,,,,,,,,,,0.40,,,0.35,,,,,,,,,,,1.00,,,,,,,,,
1556818035000,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,0.51,,,,,,,,,
1556885912000,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,0.50,,,,,,,,0.50,
1556953014000,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
1557019302000,,,,,,,,,,,,,,,0.40,,,0.25,,,,,,,,,,,,,,,,,,,,
1557087154000,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,0.50,,,,,,,,,
1557155617000,,,,,,,,,,,,,,,0.20,,,,,,,,,,0.45,0.34,,,,,,,,,,,0.78,
1557223295000,,,,,,,,,,,,,,,0.20,,,,,,,,,,0.58,,,,0.50,,,,,,,,2.04,
1557291012000,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,1.27,
1557358549000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,0.34,,,1.30,,,,,,,,1.28,
1557426851000,,,,,,0.40,,,,,,,,,,,,1.35,,,,,,,,0.23,,,1.78,,,,,,,,0.78,
1557494292000,,,,,,,,,,,,,,,0.20,,,0.20,,,,,,,,,,,,,,,,,,,1.54,
1557561044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,
1557628854000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,
1557763956000,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,0.75,,,,,,,,1.00,
1557830231000,,,,,,0.30,,,,,,,,,,,,0.25,,,,,,,,0.68,,,0.75,,,,,,,,,
1557897304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,
1557964138000,,,,,,0.32,,,,,,,,,,,,0.30,,,,,,,,,,,0.80,,,,,,,,1.51,
1558032652000,,1.40,,,,0.37,,,,,,,,,,,,0.55,,,,,,,,,,,1.83,,,,,,,,,
1558099488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,0.53,
1558301987000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1558370897000,,0.10,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.79,
1558438516000,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,0.25,
1558573856000,,0.10,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,0.51,
1558641898000,,0.31,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,0.50,,,,,,,,0.50,
1558709678000,,0.20,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,2.51,,,,,,,,0.76,
1558776750000,,0.25,,,,,,,,,,,,,,,,0.95,,0.45,,,,,,,,,0.51,,,,,,,,0.25,
1558842948000,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,1.34,
1558977860000,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86,
1559045953000,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,
1559112912000,,0.12,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,0.50,
1559179166000,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,
1559247339000,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,1.25,
1559315112000,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,
1559382148000,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,1.53,,,,,,,,1.29,
1559449529000,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559586560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,0.25,
1559653274000,,,,,,0.31,,,,,,,,,,,,0.70,,0.34,,,,,,,,,,,,,,,,,,
1559788436000,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,
1559855826000,,,,,,,,,,,,,,,,,,1.03,,,,,,,0.49,,,,0.50,,,,,,,,2.05,
1559923832000,,0.60,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559991921000,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,
1560059515000,,0.12,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,
1560127542000,,0.38,,,,,,,,,,,,,,,,,,0.23,,,,,0.34,,,,,,,,,,,,0.51,
1560194172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,
1560262359000,,,,,,0.42,,,,,,,,,,,,0.50,,,,,,,,,,,0.50,,,,,,,,0.50,
1560329676000,,0.16,,,,,,,,,,,,,,,,,,0.46,,,,,0.19,,,,,,,,,,,,,
1560397568000,,0.22,0.52,,,,,,,,,,,,,,,,,0.34,,,,,,,,,0.51,,,,,,,,0.75,
1560464402000,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,0.25,
1560531936000,,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,
1560668105000,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,
1560734814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,1.50,
1560802452000,,0.38,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,
1560870679000,,0.13,0.16,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560937524000,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561005597000,,0.69,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,2.31,,,,,,,,1.25,
1561073016000,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,
1561140851000,,0.73,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,0.75,,,,,,,,0.77,
1561208281000,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561342449000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1561409629000,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,1.29,
1561476955000,,0.56,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,0.50,,,,,,,,,
1561543836000,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561611356000,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,1.29,
1561747149000,,,,,,,,,,,,,,,,,,1.30,,0.91,,,,,,,,,1.80,,,,,,,0.95,1.26,
1561814305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
1561881035000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1562015969000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,0.52,
1562082973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,
1562150796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.50,,,,,,,,,
1562218341000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1562285611000,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,0.18,0.50,,,,,,,0.34,,
1562352854000,,,,,0.78,0.42,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,
1562419899000,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,0.10,2.52,,,,,,,0.46,,
1562486913000,,,,,0.52,,,,,,,,,,,,,,,,,,,,0.31,,,,0.50,,,,,,,0.42,,
1562553800000,,,,,3.53,,,,,,,,,,,,,1.30,,,,,,,,,,0.00,1.51,,,,,,,0.60,,
1562620679000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.15,,
1562687655000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,0.45,,
1562755228000,,,,,1.75,,,,,,,,,,,,,0.35,,,,,,,,,,,1.50,,,,,,,0.55,,
1562821814000,,,,,1.25,,,,,,,,,,,,,,,,,,0.26,,,,,,0.52,,,,,,,0.70,,
1562889775000,,,,,1.02,,,,,,,,,,,,,1.20,,,,,,,,,,,2.30,,,,,,,0.62,,
1562957966000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,0.52,,,,,,,0.33,,
1563025451000,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,0.50,,,,,,,0.92,,
1563091362000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,0.43,,
1563158482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,
1563226501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,
1563362708000,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563430869000,,,,,2.15,,,,,,,,,,,,,0.25,,,,,0.17,,,,,,0.50,,,,,,,0.50,,
1563496525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,
1563564858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
1563631313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
1563832155000,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,
1563899459000,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,
1563966329000,,,,,0.25,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,
1564033316000,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
1564235604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1564302116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1564436686000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.36,,
1564503925000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564570789000,,,,,,,,,,,,,,,,,,0.55,,0.45,,,,,,,,,,,,,,,,,,
1564637313000,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,
1564705696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,
1564772699000,,,,,,,,,,,,,,,,,,0.35,,0.35,,,,,,,,,,,,,,,,0.11,,
1564839134000,,,,,0.75,,,,,,,,,,,,,0.15,,,,,,,,,,,1.00,,,,,,,0.60,,
1565039690000,,,,,0.26,,0.20,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.29,,
1565106699000,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,0.48,,
1565241308000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565308246000,,,,,0.52,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.12,,
1565375748000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.33,,
1565441736000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1565509207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
1565643196000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.81,,
1565710691000,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565776959000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.30,,
1565843533000,,,,,0.26,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.12,,
1565911450000,,,,,,,0.26,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,
1566179461000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1566246801000,,,,,0.25,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1566314677000,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,
1566381517000,,,,,1.00,,0.41,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,0.13,,
1566448943000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1566717936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,0.16,,
1566784085000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1566920101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
1567120257000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,
1567321929000,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,0.28,,
1567389294000,,,,,0.76,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1567457291000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1567591445000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1567726271000,,,,,0.26,,0.34,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,0.25,,
1568063465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,
1568130759000,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,
1568603177000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1568871705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,
1569142150000,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1569276280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,
1569683184000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
1569751196000,,,,,0.25,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,1.10,,
1570156245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1570223512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,
1570628456000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1570696365000,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,
1570764407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1571103316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,
1571239896000,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,
1571307873000,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571512073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,
1571648150000,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571716619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1571851268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,
1572060724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
1572406531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1572684939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1572893104000,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,
1572962724000,,,,,0.77,,,,,,,,,,,,,0.35,,,,,,0.36,,,,,,,,,,,,0.19,,
1573031855000,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,0.46,,
1573171451000,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,0.66,,
1573240765000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1573311556000,,,,,0.81,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,0.19,,
1573455245000,,,,,0.26,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,
1573527153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.30
1573670409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,
1573742983000,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,0.28,,
1573886613000,,,,,,,,,,,1.02,,,,,,,0.12,,,0.33,,,,,,,,,,,,,,,,,
1573958177000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,
1574030120000,,,,,,,,,,,0.25,,,,,,,0.60,,,,,,,,,,,,,,,,,,0.73,,
1574102523000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
1574175364000,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,
1574248216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1574319702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1574463158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,
1574906610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,
1574982967000,,,,,,,,,,,1.27,,,,,,,0.10,,,,,,,,,,,,,,,,,,0.68,,
1575059347000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,
1575288653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
1575366165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,
1575519604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,
1575596839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,
1575673602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1575826602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,
1575979374000,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,0.16,,
1576056123000,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,0.24,,,,0.11,,
1576208669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
1576288118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,
1576372313000,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,0.39,,1.59,,
1576456679000,,,,,,,,,,,,,,,,,,,,,0.29,,,0.87,,,,,,,,,,,,2.03,,
1576627001000,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,0.54,,
1576713534000,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576799699000,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,0.25,,
1576886273000,,,,,,,,,,,,,,,,,,1.10,,,,,,0.45,,,,,,,,0.54,,,,1.37,,
1576971438000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,
1577057861000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1577229621000,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,0.12,,
1577402327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,
1577573599000,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,
1577659927000,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,0.25,,
1577832303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,
1577918935000,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,1.00,,,0.97,,,,0.28,,
1577997589000,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,1.67,,,,,,,,,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,0.03,,,,,,
1578129566000,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,
