timestamp,​0x288025c2f4edBa0F4C52F7d1Ad7B24337f702b11,​0x0A7EAEE9d588C0af4eAC758c3bd6b1E69e4d8f3B,​0x8bCE57b7B84218397FFB6ceFaE99F4792Ee8161d,​0x787b4b7FFEf8edDaD54F311039aCF4c36FEC9593,​0xe1c58E66FfB39A99cCCB97c05Af60E6Ab5A7dFd3,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0xe810f906b25Fb4C1b0821Bfe6d61F31Ba6879d32,​0xffE865dCD9588683a4E0b2322441e71407DA3f18,​0xA250621c41A4A81F1852977049C943B49C6BaaBD,​0xF63246f4dF508EBa748DF25DAA8bd96816a668Ba,​0x85b34DaF22e6c84733FC10051d0c8b9E7A0caB45,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x6Bce8F3E4A929a7f817E07d125De53E881154c25,​0xDEf2825451D74faE9bbD675096a8E145e82F0ff5,​0xBAc675C310721717Cd4A37F6cbeA1F081b1C2a07,​0x00CeD7a739e418008eEaeA4b566F022A58033d87,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x133D93566f9699B3Af46fE150daA8a67a9563ED6,​0x0087C5900B9Bbc051B5F6299f5bCE92383273B28,​0xB9A8dEae8115C7d7B8AED2CE4610C54e023E964F,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,​0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6,​0x3a68541b411C7feE1328347250AE12f41bDf5021,​0xC2b977Be48d23F5fE810d94F03fBCD1FBCD9f1Ed,​0xc59d941D3493fe196F048fCA96C2503d4c365391,​0xbbC448eD7Dd2F9234a4221CE8279889d93902DE2,​0xd1D4C33e18181a131239F4235B5c356A2b4747F8,​0x05DF130ED6611BeF407be37ACe7E669E260Dc0A8,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0xE227CDb4F2DBb8624c0e5EB562Bb7EB60157Af77,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x99ef7D7AB77Ba043d036eB8D039c76978b78CA80,​0x8A0AF4A60AB015A2489C9E512F66cFA22CC89951,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x00a183fdBEBcE39cc1065b14B1015Cea3B40b651,​0x4c7256CF27A29992a752BD710a859F6542D63546,​0xd6e371526cdaeE04cd8AF225D42e37Bc14688D9E,​0x398da2455431a5de959b25aeF85BAdcA5e394313,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xaBa7616b43F7EC88a603b0e2e46C4639206CF297,​0x07C9CeEee50cFc50f4283e8F0b18a207C2bc4A0d,​0x9927A3BF777Fc74d7879319e46C51681DABa4bf3,​0xa568785f84ca6ea2b41d271dCC614B9c0bC61Ffd,​0x3f3981046071A639EfAd5752F8312E7E0Ef00838,​0x630db35A7Dfcf53a56551aFC86281959525A1f04,​0xe981E60f1C6B3BFcf83139A21f84dEbd471cc55B,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x2Ad77B6ee8CfBfA52c0cc6EF9D04FC2Ab9D06C12,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x7DD3e1c555f15bDA63c77C19D721382000c67106,​0x1b25Cd78c96e5d311D322D93f59fEA85d9E45d1B,​0xda521f6DE82BbC4B99978AE778088763C48A6aCa,​0x63DF7d9D7795883d56cA290f94aba8a6AA4F6f22,​0xa1B15C25e3B594FBE791233488aA7607420Cf9E8,​0x395d48020EF5e29168706e16258db6c6c4D7d317,​0x542032e0d1e4e9Ef26480f1B97D8b962Ec5BeB04,​0x70B8753DFC2095d6Df00806cD820c5c73CcB44f7,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xe8EfCF0ff27e9D2150598273716914096d22c246,​0x4d15d199772fFB191E8DDF13437Ce05e0035DF1A,​0xbC5DAe1121b8A600927e087ADfdA96565d4A4B35,​0xBDd74e67f0f5729b3eAD8e9C231e739A281fa153,​0x8F5aAfdE2f96238e88403a9aF533F7D0440309f4,​0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,​0x421E56cA6E4B03350188CEc58d053B427245665d,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0xdE62947329085292a28EC4B694f637ea259dAAD0,​0xDA9e4c69AFE23b689eba329CE6abd49Cb574A290,​0x297E625054F2bB2413D955435b390542fD60Cca8,​0xBA333F8ff556bF35D38E102a98dAF1c5F6d9D708,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x0ef936F2FC7E140E84872dD83f7A969ABEE64db8,​0x06eCac531640502F253a6Ea6C470c7De1B51E32C,​0x9BA6F2851c8Afe6be654fbd4C3dC7e9E64cfFE53,​0x4ef2Ab73EF2214EBeba6f087A8DcF89731504301,​0x64aBC5b10C77d93BE5038E7b4965D2F0D8279127,​0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0x21d84C39BA00dFa4470d5E8F6F80fB72A4D1Ba40,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0xdb0FA209f856c8798F1adb6f1554639c28248577,​0x50af627e6b8Fc889B0Ffd8812198E87c78330557,​0x72200574ce62Be6b9a3C36a0d63aA9F07102b4AF,​0xe3C64C12aadE620973a6e157eDEAc7d0dcd157e4,​0xA8Cc687E981e9cB29E5BAEf75062A39430C8D334,​0x7Fcf6fB4Df8b6728490927ac19693aCBB417D528,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,​0x4dA2e85D64bEcE663CCaB06E89B970b6b077f22F,​0x6d1b731Ce6e88bd41b22BaB615860C2b67b6C877,​0xe45B587f0a351188225EfBc96295CA718fEb8bA1,​0xDE04086bABf2E92F9fae4153894756a393A89cfD,​0x42869A8455671C419BdCD1905f4966E6D305f216,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0xF625BB4BE421261De6371879e91b2242c98F912C,​0xDBfCa6b7fF1a2c5F7ddEbDb06572F5E402B2CC80,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x0c7800054E62d473B3bF7ed185BE55Ebd87b3d24,​0x978aAD63FE35F7A72573c411C3dfF53608AaeaC9,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x22F347150369B91A5B071CDde6AB5c4Ac76F4632,​0x97deC872013f6B5fB443861090ad931542878126,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xc64D280cb3d9D7ef4533539Abef48C5e0fCd3A01,​0x268e4bb7A9E0CDE4BFc2d840ADE104c55025627D,​0x470B9a1CA1f44a472b146db3c08EC738F5239524,​0x8e4Fb9Bb9dc27CFd7f4396aA669e21B1A0b54705,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x058E81d2193fB3200f2740d0395F8561cB89e009,Other
1543618808000,,,,,,,75.00,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24,,,,,,,,,,,,,,,,,,,,4.78,,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543689978000,,,,,,,30.00,,,,,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,,,6.74,,,,,,,,,,,,,,,,,,,,0.90,,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1543762528000,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1543833579000,,,,,,,25.00,,,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,0.95,,30.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543904618000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,1.45,,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60
1543976854000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
1544047777000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
1544119637000,,,,,,,,,1.00,,,,,,,,,,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,,,,,,,,,,,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544191617000,,,,,,,,,,,,37.84,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,83.01,,,,,,,,,,,,,,,,,,,,50.24,,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37
1544263439000,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
1544334704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,8.48,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71
1544405011000,,,,,,,,,,,,,,,,,,,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21
1544475718000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1544547488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1544618822000,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1544689901000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
1544761330000,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1544832405000,,,,,,,,,,,,1.00,,,,,,,,9.03,,,,,7.14,,,,,,,,,,,,,10.97,,,,,,,,,,,,,,,,,,,,,,,,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
1544903281000,,,,,,,,,,,,6.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,0.30,,,2.26,,,,,,,,,,,,,12.99,,,,,,,,,,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24
1544974705000,,,,,,,,,,,,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545047794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1545121062000,,,,,,,,,,,,1.00,,,,,,,,1.76,,,,,,,,,,,,,,,,,,11.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,6.33,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545194042000,,,,,,,33.00,,,,,22.02,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
1545268401000,,,,,,,,,,,,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,0.80,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90
1545342023000,,,,,,,,,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1545415730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545489450000,,,,,,,,,,,,4.56,,,,,,,,3.67,,,,,,,,,,,,,,,,6.26,,3.14,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.40
1545562634000,,,,,,,,,,,,6.70,,,,,,,,,,,,,,,,,,,,,,,,3.12,,2.94,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20
1545636119000,,,,,,,,,,,,6.19,,,,,,,,1.24,,,,,,,,,,,,,,,,7.72,,4.34,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07
1545708423000,,,,,,,6.00,,,,,13.26,,,,,,,,6.20,,,,,,,,,,,,,,,,1.45,,4.08,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1545781311000,,,,,,,,,,,,0.21,,,,,,,,2.71,,,,,,,,,,,,,,,,3.00,,1.05,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,5.00,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
1545853370000,,,,,,,,,,,,,,,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545927395000,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546000562000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546073485000,,,,,,,,,,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,20.56,,,5.39,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546145827000,,,,,,,,,,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.90
1546218595000,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,16.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546292150000,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,5.16,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11
1546365675000,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,2.00,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,3.40,,,,
1546438572000,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,,,
1546513937000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1546591053000,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1546669576000,,,,,,,,,4.00,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,3.00,,4.00,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
1546745738000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546823093000,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95
1546899613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
1546978150000,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00
1547055036000,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547132534000,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,,2.00,,6.70,,,,,,,,,,,,,,,,,,,,,,,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
1547210059000,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547287230000,,,,,,,0.96,,,,,11.10,,,,,,,,,,,,,7.52,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547364620000,,,,,,,,,1.23,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
1547441816000,,,,,,,,,,,,3.00,,,,,,,,7.54,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547595530000,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,5.34,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17
1547673644000,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547751054000,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1547828619000,,,,,,,10.35,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46,4.14,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
1547904215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
1547981162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80
1548061637000,,,,,,,,,,,,4.90,,,,,,,,,,,,,,,,,,,,,,,,4.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,10.85,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1548146240000,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,4.00,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1548232784000,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00
1548317720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548402864000,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,0.64,,2.40,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,4.30,5.30,2.51,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78
1548487485000,,,,,,,,,2.00,,,,,,,,,,,,,,,,8.11,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,0.95,,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548573526000,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1548660153000,,,,,,,,,,,,2.80,,,,,,,,,,,,,,,,,,,,,,,,2.00,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548748418000,,,,0.77,,,,,,,,8.02,,,,,,,,,,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.01,7.26,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
1548837025000,,,,,,,,,,,,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22,17.37,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1548924193000,,,,,,,,,,,,6.70,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44,1.00,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549012454000,,,,,,,,,,,,2.50,,,,,,,,1.00,,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,20.30,7.15,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549101725000,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,1.60,,,,,,,,,,,,,,,,,,,,,
1549189411000,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549277128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,5.05,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
1549364548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,19.50,,,,,,,,,,,,,16.32,6.04,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
