timestamp,​0x85a2469E9ec8FaF78B9b3adb737085EfE263f0AD,​0x1bcFE4f499DB23909a5DDc33D6E2D879531176EC,​0x1fC6386835eB73C7c3b16695f30611B1a71FC84c,​0xEcC996953e976A305ee585A9C7BBbcc85D1C467b,​0xd64813E230B945E501aA1969D21Fb2072cB95930,​0xAb95a0Fb53df696A492A93f30FA126bDE2493043,​0x10e797d89CD91184D058d0d2972806681Af90638,​0xAd31f17b5cf5c4f10268476Ea1E04bC309E754a4,​0x3d56FDDC5e111FED6b5e02aFA6CE9E83EE6BD30E,​0xC72AED14386158960D0E93Fecb83642e68482E4b,​0xA91F4ad4E2740939B858a2Ef728254F1CFB7CD20,​0x9b94EA673F40c63671b257f13E7D3cf5bcAC7493,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x7adC5DEFA1d360f50E698Cda6f509D31284b2684,​0xD689b787c17E3133E6a3964446eAC7559d306227,​0xceBBC4FEaE442A02bf4e7417b895C809A5BFFCB0,​0x30D726d4b64Fee8De4F5D94C53859DAeD2aE77F0,​0x347397EefF516c7F3809A4c1dadE10D692341d0f,​0xfFd70ED81Bd9eeFe8D0ef4cBbfAfb40C234Ff957,​0x25C9D1977F91A8d6F16C114A017D2d5228258d21,​0x5d396a2106694308A40608Ef14A1C0892B6b7fAa,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x8A2F5d6D822611BDab08D306aA8F3E3942177417,​0x63c410A066d5d12217b713cCac5F600A06ba45e6,​0xa1cCC796E2B44e80112c065A4d8F05661E685eD8,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x67e5ab5b573F01030a1076dDA7A79Ef0f31A1bFa,​0x63156a054d82033530Ef343E194805379172cDAA,​0xD5c7A71108999ccc0750D5373C113AbA0b89A17d,​0xaaa0d062f83daf023EE2614Ab798C28D87b7b2d7,​0xcDe4d4FA46fe2878C6b0530c9B9aC9Ab87A38039,​0x526C7665C5dd9cD7102C6d42D407a0d9DC1e431d,​0xC912f332B817E6F62D4991610dED7DF4cdE212F0,​0xcFe4b63246a23C92D96940A0261d4ca754edd7Bd,​0x53c3f04C512024b2022a5df923aDb293EA26E0b1,​0x7904aDB48351aF7b835Cb061316795d5226b7f1a,​0x5632Cf9a1b4ac936A3c6d3D66EB75c0344c61c2d,​0xF55AB67955F58dfCD30fCFC2fF3510b96661AbD5,​0xBC9E297a1D1F97198f1D1f01C835E2516b0b71ea,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0xdE7670354fE2110fbF3A2ca269096647fc955924,​0x1456D529AA4B14700acA0aab4B9B819b13bcE08F,​0xa482566E63d032Af218a8d65caEEDA5DEc73E4B4,​0x6e3AA85dB95BBA36276a37ED93B12B7AB0782aFB,​0xB28397E0e9a9CD849A30AF694f46765310274aF5,​0xb6Dfd981D9Dee4AFBE498f3d7445462fB8E5157f,​0xa5f7a39E55D7878bC5bd754eE5d6BD7a7662355b,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x449295e140Ea4a35ebDEaCFb47c52A7DF41A7D81,​0xAf297B77153380f00862c9F76d2C4e45e81Bd08e,​0xa3FD43a8e43EE370e2c259EaAb39Ed6102391496,​0x0597Fdc7F4944F9d8E4157A6E3846aEdD6f8D270,​0xC8C2b727d864CC75199f5118F0943d2087fB543b,​0xf1eb96dbCd2242d29f4eAF7bf5b96542278a4e36,​0x6da35093D7661418Dc24606B5d3478cd1e64124d,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x461783A831E6dB52D68Ba2f3194F6fd1E0087E04,​0xD85A7A3C5F08E3E709c233E133cE1335fBbF5518,​0x3966598489bdf7b2E85Af7976ace0985e6538616,​0xA1fB1ccf3BD712972B06a089C6C69FE342a52Af1,​0x691Ce62a208B195acCF54C39a98F1112C90046d1,​0x953EF149CA90FA1e3518C56178Cba0346d8047Bf,​0x32a59b87352e980dD6aB1bAF462696D28e63525D,​0x9a4935749DbdfaF786A19dF1c61a6D28b7A6CF94,​0x2a73F607741aE1a91A1107C7173Ee5051A95BAdE,​0x3A2839250072f936f1A1BE79A367e18557fb4a2c,​0x522e5eb34d4BD9b6d3Ce30F29c60cA88CAfE557d,​0x736e108BCDD0C48771878CAa148C1254689A941d,​0xE20Ff024e00A324D6Fd29750EBe92e6b4FaA2741,​0xa53A13A80D72A855481DE5211E7654fAbDFE3526,​0x6b9E8062F5C7ff740A88D0696a5a9854C4396107,​0xA5DFa6824D1159EfC917D18Ca65e0138014c14F7,​0xB958a8f59AC6145851729F73c7A6968311d8B633,Other
1564168317000,,,,,,,,,,,,,,0.55,,,,,,,,2.16,,,,,2.60,,,13.78,,,,,4.22,,,,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,19.17
1564235604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,1.25,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,1.41
1564302116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,19.86,2.55
1564369151000,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,7.16,,,,,1.49,,3.71,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,
1564436686000,,,,,,,,1.59,,,,,,,,,,,0.12,,,4.06,,,,,,,,,,,,,,,,,,,,4.71,,,,,,,,,,,,,,,6.10,,,,,,,,,,,,,,,,,6.00
1564503925000,,1.25,,,,,,,,,,,,,,,,,,,,0.58,10.00,,,24.49,,,,41.32,,,,,5.04,,,,34.88,,,,,,,,,24.62,21.00,,,,,,,,,,,,,,,,,,,,,,0.21,,,1.03
1564570789000,,,,,,,,,,,,,,,,0.55,,,,,,,10.00,,,50.44,,,,41.10,,,,,5.05,,,,38.03,,,,11.00,,,,,50.71,,,,,,,,,,,,,,,30.30,,,,,,,,,,,2.11
1564637313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,31.40,,,49.68,,,,5.00,0.74,,,0.63
1564705696000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,1.85,,,
1564772699000,,,,,,,,,,,,,,,,,,,,,,,20.00,,,27.00,,,,,,,,,4.61,,,,,0.45,,,,,,,,27.27,,,,,,,18.00,,,49.84,,,,,8.00,,,,5.00,,,,0.43,,24.14,2.97
1564839134000,,,,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,,,,5.41,,,,,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564905518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92,,,,,,,,,,,,,,,,,,,,,2.85
1564972688000,,,,,,,,,,,,,,,,,,,,,,,30.00,,,27.00,,,,,,,,,,,,,,3.82,,,,,,,,27.48,5.00,,,,9.92,,,,,,,,,,,,,,,,,,0.34,,,0.64
1565039690000,,,,10.00,,,,,,,,,,,,4.80,,,,,,,,,,54.00,,,,15.95,,,,,11.31,,,,,,,,,,,,,54.71,,,,,9.82,38.85,,,,49.28,,,,,,,,,,,,5.00,1.17,,,2.96
1565106699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98,,,,,,,,,,,,,0.55,,,
1565173880000,,,,,,,25.10,,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,0.77,,,,10.00,,,,27.35,,,,,9.89,,,,,,,,,,,,,,,,,10.00,0.25,,,8.54
1565241308000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.18,,,,,,,,,,,,,,3.06,,,,,10.00,,,,19.69,,,,,40.05,,,,,5.80,,,,,,,,1.33,,,10.51
1565308246000,,,,,,,,,,,,,,,,2.09,,,,,,,,,,27.00,0.83,,,16.82,,,,,,,,,,,,,,,,27.00,,26.92,,,,,29.78,,,,,,,,,,,,,,,,,,,,,2.52
1565375748000,,,,,,,,,,,15.58,,,,,,,,,,,,,1.50,,54.00,,,,16.38,,,,,,,,,,,,,,,,,,54.09,,,,,,,,,,,,,,45.00,0.24,,,,,,,,0.41,,,3.45
1565441736000,,,,,,,,,,,4.80,,,,,,,,,,,,,13.55,,,4.01,,,16.84,,,,,,,,,,5.15,,,,,,,,,,,,,39.52,,,,,,,,,,,,,,,,,,0.71,,,1.39
1565509207000,,,,,3.96,,,,,,,,,,,,,,,,,,,28.00,,,,,,34.04,,,,,,,,33.97,,0.90,,,,,,,,,,,,,9.96,,,,,,,,,10.00,,,,,,,,,,,95.62,3.00
1565576260000,,,,,,,,,,,,,,,,,,,,,,,21.00,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,3.06,,4.90
1565643196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.44,,,,,4.25,,,,,,,,,,,,,,,,,,24.85,,,,,,,,,,,,3.20,,,,,,0.35,,,2.00
1565710691000,,,,,,,,,,,,,,,,,,,,,,,,,,11.38,,,,17.48,,,50.00,,,,,2.00,,,,,,12.08,,,,37.78,,44.31,,,,,,,1.20,19.86,,16.23,,,,,,,,,,,,9.82,,1.25
1565776959000,,41.15,,10.00,,,51.00,,,,,,18.86,,,,,,,,,,,,,40.08,0.60,,,35.43,,,,,5.83,,,,,0.55,,,,,,,,40.46,,,,,,,,,,19.88,,,49.91,,22.50,,,,,,,10.00,0.17,,,3.82
1565843533000,,,,,,,,,,,,59.79,,,,,,,,,,2.50,,,,,3.85,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,29.97,,,,,,,,,,,,,0.77,,,14.39
1565911450000,,,,,,,,,,,,,,29.50,,,,,,,,,,,,10.38,,,,35.99,,,,,,,,,,,,,,,,,,10.47,25.00,,,,,,,,,25.03,,,,,,,,,,,,,0.64,,,2.24
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,,,,18.03,,,,,,,,,,,,,,,,,,27.18,,,,,14.71,,,,,,,,,,4.20,,,,20.00,,,,2.62,,,1.54
1566044959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.37,,,0.00
1566113085000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,1.09,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,0.40,,,
1566179461000,,,,,,,,,,,,,,17.79,,0.79,,,,,,,,,,,,,,18.03,,4.65,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,20.00,0.15,,,3.39
1566246801000,,,16.00,,,,,,,,,,,21.54,,,,,,,,,,10.00,,,,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,,,,,,,,,,,,,1.06,5.50,,30.90
1566314677000,,,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,49.94,,,,,,,,,,0.55,,24.07,12.33
1566381517000,,,6.13,42.00,,,,,,,,,,,,,,,,,,,,,,2.31,,,,56.20,,,,,,,,,,3.00,,,,,,,,2.33,,,,,,,,,,24.79,,,49.22,,50.70,,,,,,,,0.48,,,2.49
1566448943000,,1.07,,,,19.79,,,,,,,,23.31,,,,,,,,,,,,,,,,28.40,,,,,,,,,,1.50,,,,,,,,,,,,,9.97,,,,,,,,,,,,,,,,,,1.25,,,0.33
1566516026000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,0.70,,,3.58
1566583035000,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,1.20
1566649948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566717936000,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566784085000,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,28.56,,3.27,,,,,,,,,,,25.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,5.77
1566851133000,,,,33.00,,,,,,,,,,19.40,,,,,,,,,,,,26.72,1.06,,,28.72,,,,,,,,,,,0.25,,,,,,,26.92,,,,,,,,,,,,,,,,,,,,25.00,,,1.49,,,1.00
1566920101000,,,,40.00,,,,,,,,,,23.50,,1.21,,,,,,,,,,,1.27,,,41.02,,,,,0.51,,,,,2.30,,,,,,,,,,,,,,,,,9.05,,,,19.93,,,,,,,,,,,,,8.98
1566986635000,,,,92.21,,,,,50.00,4.79,1.20,,,,,3.93,,,,,,,,,29.30,,,,,39.50,,10.96,,,,,,,,,2.13,,,1.00,,,,,,,,,,,,,,,,,19.88,,,,,,,5.00,,8.01,4.41,8.00,,30.09
1567054177000,,3.26,5.00,,,,,,,,,,,21.10,,2.57,,,,,,,,,,,,,,24.05,,,,,6.81,,,,,,3.72,,,1.44,,,,,,,,,,,30.83,,,,,,,,,,,,,,,,4.51,,,6.74
1567120257000,,1.06,,,,,,,,,,,,,,1.70,,,,,,12.02,,,,,1.72,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,,,2.64
1567187642000,,0.87,,,,,,,,,,,,,,,,,3.23,,,,,,,5.60,,,,2.81,,,,,,,,,,,,,,,,,,5.63,,,,,,,,30.09,,,,,49.36,25.00,,13.37,,,,,50.00,,7.44,,,7.85
1567255013000,,,,,,,,,,,,,,,,7.10,,,,,37.00,,,,,,,9.68,6.00,15.84,,,,,,,,,,,10.71,,,,,,,,,,,,,,,30.15,,,,,,,,,,,,,,,1.50,,,
1567321929000,,,,,,,,,,,,,,49.14,,,,,3.22,,40.00,,,,,,,,13.50,31.69,,,,,,,,,,,3.92,,,,,,,,,,10.69,,,,,30.17,,,,,,,,,,,,,,,0.66,,,6.26
1567389294000,,,,,,,,,,,,,,15.03,,,,,,,40.00,,,,,,1.60,,,32.04,,,,,,,,,,1.00,,,29.40,9.87,,,,,,,,,,,,29.96,,,,,,,,,,,,,,,0.23,4.68,,15.32
1567457291000,,,,40.00,,,,,,,2.60,,,,,,,,,,,,,,,3.05,1.72,,,,,11.88,,50.00,,,,,,,4.70,,,1.00,,,,3.08,,,,,14.91,,,30.20,,,,,,,,,,,,,,,1.09,,,15.00
1567524520000,,3.57,20.00,,,,,,,,1.30,,,,,,,,3.20,,,,,,,3.27,3.05,,,33.90,,,,,,,,,,,,,,,,,,3.31,,,11.10,,,,,,,,,59.42,39.97,,,,6.60,,,50.00,,,2.25,5.34,,17.35
1567591445000,,,80.63,,,,,,,,,,,27.41,,11.27,,,,,,,,,,600.00,,,,39.03,,5.92,,,,,,,,,,,,,,,,598.22,,,,,,,25.00,59.91,,,,23.80,79.61,,27.90,14.37,,,,,,,3.66,9.50,,27.53
1567658685000,46.00,1.18,,,,,,,,,,,,27.83,,,,,,,,,,,,389.32,2.44,,,,,,,,,,,,,,,,,,,,,388.16,,,,,19.89,,,,,,,,1.00,,,4.02,,,,,,,4.51,,,5.06
1567726271000,40.00,,,,,,,,,,,,,17.19,,8.57,,,,51.73,,,,,,2086.73,,,,175.00,,,,,,,,,,,,,,,,,,2080.71,,,,,19.88,,,,,,,,,,,,,,,,,,1.08,,,3.55
1567794373000,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,0.42
1567860872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,,,,,,24.29,,,,3.50,,,,,,,,0.64,,,1.30
1567928417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,3.01
1567996252000,,,,,,,,,,,,,,27.53,,,,,,,,,,,,,,19.00,,,,,,,,,,,,,,,,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
1568063465000,,,,,,,,,,,,,,,,,,,6.93,,2.00,,,,,,,,,,,,,,,,,,,,,,,17.12,17.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568130759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81,,,,,,,,,,,4.27,,,,,,,,,,4.55
1568198340000,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,,,,20.76,,,,,,,,,,,,,,,,,15.12,,,,12.50
1568266003000,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,30.09,,,,,,,,,,,,,,,,19.97,,,,,49.98,,,,,,,,,,,,,,,,0.40
1568332434000,,38.32,40.00,,,,,,,,,,,,,,205.07,,,,,,,,,,1.14,,,,,,,,,,,,,,6.80,,74.00,,,,,,,,,,,,,,,,,,202.68,,,,,,,,,,1.19,,,0.79
1568400865000,,10.11,,,,,,,,5.07,,,,,,,,,,,,,,,,,,,,,,,,,9.95,,,,,,,,,,,,,,,,,,19.87,,8.50,,,,,,,,,,,50.33,,,,,1.28,,,0.93
1568467502000,,,20.00,,,,42.52,,,,,,,27.38,,,,,,,,,,,,,,,,,,,,,9.98,,,42.27,,,,,,,,,100.11,,,,,,,,,30.17,,,,,,,,,,,,,,,,,,6.30
1568535532000,,,,,,,,,,16.32,,,,,,,,17.92,,,,,,,,,,,19.37,,,,,,,,,,,24.49,3.30,,,,,,99.64,,,,,,,,,30.17,,,,,,,,24.54,,,,,,,,,,1.45
1568603177000,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,2.50,9.57,,,,,,,1.17,,,0.60
1568669970000,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,6.30,,,,,,,17.20,,,,,,,6.36,,,
1568737700000,,,,,,,,,,,3.60,,,,,,,6.01,,,,,,,,,,,,,,,,70.21,,,,,,,,,,,,,,,,,,,19.66,,,,,,,,,,,19.04,,,,,,,,,,0.99
