timestamp,​0x3deE4A4E076e8d82859D241Db0bAF46f112CfA23,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0x97deC872013f6B5fB443861090ad931542878126,​0x093B5C6878fD8eF4875127C43969693472774938,​0xcCc8790A416EeD1D94E13F18835Bbc997d7f4d53,​0x6534E5D2C59128254bd05923F87524D53f113e21,​0x0AB359f10E9c8be86663bC83aC772Ecf9473c42C,​0x01D90d41b78E9b6c47c9307883510E3B04d67f78,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xBBFe30A28485a8Bb1Bc26C28c518497f2763D502,​0xCe71eC2Db82d10FE60F053CBb5009aCb171f3190,​0xd6834d0204Cd4612Da6d0241F31f12975E60b1EE,​0x05cDe89cCfa0adA8C88D5A23caaa79Ef129E7883,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x3D44309044bF2905ca476c217B997bC599303124,​0x4b8A718F7FA74e969a333BfFf9021bF217C7A5E5,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xf6D3b696F29Fd97c5063f2E6E83C0844F106f327,​0x8c1C2D7C0BfD189AC1F45CDB1C5c2892aA86Ee36,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xD3B9902414B710783a1c263FB335a29424aa2d92,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x0178217e241aa00787461cf044C69E8292c3863E,​0x511dbE9e6b7EDE607f47D00a681BD5C7a6D397A1,​0x31Bb711de2e457066c6281f231fb473FC5c2afd3,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x6dF61541FEB228625d207a6Fac83C0A23836EB3A,​0x1a1A04E01ddaa626026202048D2D7503085B68DD,​0xC135116C61339F251B2432DBDbeF1F58AaC1F78D,​0x1b51e38A3537811eD0Ad934CF07dB5D55BA79613,​0xAecdA292d7a976746E1660650724fB932d4BB35E,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xD49e1FdABF589690cb2078bf79D7B9742D72Cec8,​0x0A251dF99A88A20a93876205Fb7f5Faf2E85A481,​0x23c98B17743EF687cBAB84ceF9ecA52d4934455a,​0x22814A103Eb176646f5eD0c22c37976734803121,​0xd14b520b9559779cE7B68942eE9d70C198c77536,​0x0643231de4Ad25c252c265C70D3D5b76af91582a,​0x91dEbb54De02872a259C17699D9B794Bc949fed2,​0x445E5f797fd7a939F9B4a593b7aD5BB79Ee046c8,​0x383F42b5De515C564641f65f5da3BD8b4a35B4B4,​0x3F18979B724c3d294164886E75412C86b1F08B64,​0xF6962b0BC87869fec44020f7061252dC83857dd4,​0x3B10c57A94bd06170EEd81ACDf25755E0A086FB2,​0x24D0Db7E182fCD29DdeA14C04BCb182c89CBB0C0,Other
1590113970000,,,,,,,,,,,,,,,,,,,,,0.16,,,,,0.07,,,,0.07,,,,,,,,,,,,,,,,,
1590181994000,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1590248502000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
1590383553000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,
1590652494000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1591122115000,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591256276000,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591725334000,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,0.41,,,0.60,,,,,0.44,,,,,,,,,,
1591793059000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.11,,,,,,,,,,,,
1592060020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1592193218000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,
1592326391000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592527754000,,,,,,,,,,,,0.05,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01
1592594022000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1592661070000,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592727831000,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592861502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1593195376000,,,0.16,,,,,,,,0.07,,,,,,,,,,,0.01,,,,,0.12,,,,,,,,,,,,,,,,,,,,
1593262962000,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,
1593330837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1593396882000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,
1593464751000,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
1593666201000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
1593732971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
1593866326000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,
1593933211000,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594199176000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,0.20,,,,,,,,
1594534363000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,
1594600559000,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,
1594734577000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,0.11,,,,,,,
1594868516000,,,,,,,,,,,,,,,,,0.16,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
1595270294000,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595471028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
1595672114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,
1595738927000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,
