timestamp,​0x82Ea7356518127A961923f46b49E0251F6843409,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0x7D77e6Fe8cd921e4A89ad735A3A722b1f84dc32b,​0x66ace6CAa9Ec944735F73ed592a5E1ed22293F3a,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x3308084b16C72C4E6912F33fB204BfB7584e0E9e,​0x8F193b443f05aAd921F262DA36d3Dde6c7ADFE9a,​0xf08f1bdFBA4358Ba7738f2F2b09738a13cCDf04C,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x2130FD01026867A6c8DdE24ad5E64F2e2DFce196,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4e6F2b5e8d84AF5c5ff21Dd7e376BAf6B17e3dea,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x78A55B9b3BBEffB36A43D9905F654d2769dC55e8,​0x0f75EC23c26f6D00D8c12D8D6dFE6633Adb224Ef,​0x3B3C74C5aE9415CEa88C81014B80979a61b7B464,​0x0000000000000Eb4ec62758aaE93400B3E5f7f18,​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xfA5073140A1C8A1728716E78CCfA2dA514045D3C,​0xfc1b61Aebe657d33DF261DB89AADd767515600C6,​0xadfA51248ae5F82008C188CA3f329D4cADdAd1Ec,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0xA824233b7956DB5bAFA5a2CB813C1414A6Fa3E67,​0x97deC872013f6B5fB443861090ad931542878126,Other
1572615810000,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
1572684939000,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
1572754262000,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
1572962724000,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,
1573101222000,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,
1573311556000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1573382543000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
1573742983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
1573814675000,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1574534614000,,,0.30,0.34,0.04,,,,,,,,,,,,,,,0.33,,,,,,1.83,,0.02
1574606767000,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,
1574906610000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1575136068000,,,0.18,0.41,,,,,,,0.51,,,,,,,,,0.14,0.09,,0.09,,,1.64,,
1575366165000,,,,0.33,,,,,,,,,,,,,,0.31,,0.20,,,,,,,,
1575442393000,,,,0.42,,,,,,,,,,,,,,,,0.13,,,,,,,,
1575519604000,,,,,,,,,,,0.45,,,,,,,,,0.19,,,0.07,,,,,
1575673602000,,,0.03,,,,,,,,0.43,,,,,,,,,0.24,,,,,,,,
1576208669000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1576713534000,,,0.06,,,,,,,,0.58,,,,,,,,,,,,,,,,,
1576799699000,,,0.06,,,,,,,,,,,,,,,,,0.22,,,0.03,,,,,
1577057861000,,,0.35,,,,,,,,0.78,,,,,,,,,1.52,0.07,,0.05,,,2.87,,
1577143907000,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,
1577229621000,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1577573599000,,,0.07,1.24,,,,,,,,,,,,,,,,0.20,,,,,,,,
1577659927000,,,0.12,,,,,,,,0.66,,,,,,,,,0.60,,,,,,,,
1577832303000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1577997589000,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
1578195701000,0.41,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,
1578261907000,,,0.05,,,,0.55,,,,,,,,,,,,,0.16,,,,,,,,
1578393679000,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,
1578459841000,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,
1578857025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578989540000,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,0.10,0.53,,,0.19,,,,0.82,,,,,,,,,0.28,,,,,,,,
1579254375000,,,0.05,,,,,0.52,,,,,,,,,,0.31,,0.21,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,
1579453251000,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,
1579518909000,0.41,,,,,,,,,,,,,,,,,,,0.17,,,,,,,0.86,
1579650516000,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1579848954000,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,0.26,
1579982233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580180893000,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1580247630000,,,,,,,,,,,,,,,,,0.26,,,0.32,,,,,,,,
1580711822000,,,,,0.10,,8.28,,,,,,,,,,,,,3.78,,2.12,,,,,,0.04
1580778615000,,,0.04,0.89,,,0.76,0.20,,,,,,,,,,,,,,,,0.43,,,,
1580844182000,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1581043789000,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,
1581110121000,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,,,0.17,,,0.83,,,,,,,,,,,,,,,1.15,,
1581243665000,,,,,,,,0.17,,,,,,,,,,0.53,,,,,,,,,,
1581310184000,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,
1581375300000,,,0.03,,,,,0.32,,,,,,,,,,,,0.07,,,,,,,,
1581441429000,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,
1581574720000,,,,0.32,,,,0.18,,,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,
1581841298000,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,
1581973926000,,,0.03,,,,,0.09,,,,0.28,,,,,,,,0.07,,,,,,0.31,,
1582240159000,,,,,,,,0.10,,,,,,,,,,,,,,,,,,0.37,,
1582505376000,,,,,,,,0.30,,,,,,,,,,,,0.12,,,,,,,,
1582571821000,,,0.03,,,,,,,,,0.31,,,,,,,,,,,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,
1582771019000,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.32,
1582904573000,0.32,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,
1582970808000,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,
1583036689000,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,
1583103301000,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.74,,
1583168974000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1583302077000,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,
1583699841000,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,
1583900197000,,,0.04,,,,,,,,0.36,,,,,,,,,,,,,,,0.68,,
1583966404000,,,0.17,,,,,,,,0.34,,,,,,,,,0.17,,,,,,,,
1584100621000,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,
1584970249000,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585306138000,,,0.05,,,,,0.19,,,,,,,,,,,,,,,,,,,,
1585903293000,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,
1585969610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1586301955000,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,
1586501245000,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,
1587033174000,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,
1587434258000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,,
1587768625000,0.04,,0.50,,,,,,,,,2.18,,,,,,,,,0.06,,,,,,,
1587836062000,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588104246000,,,0.04,,,,,,,,,,,,,,,0.21,,,,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
1588305064000,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,
1588771981000,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,
1588972800000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1589308656000,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,
1589375621000,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,
1589442351000,,,,,,,,,,,,,,,,,,0.61,,,,,0.23,,,,,
1589778055000,,,,,,,,,,,,,,,,,,0.53,,,,,0.24,,,,,
1589845567000,,,,,,,,,,,,,,,,,,0.46,,,,,0.24,,,,,
1589913105000,,,,,,,,,,,,,,,,,,1.77,,0.22,,,,,,,,
1590113970000,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,
1590316431000,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,
1591122115000,0.26,,,,,,,,,0.24,,,,,,,,1.49,,,,,,,0.26,,,
1591389945000,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591725334000,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
1591793059000,,,,,,,,,0.17,,,,,,,,,0.19,,,,,,,,,,0.07
1591859571000,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,
1592060020000,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,
1592193218000,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
1593396882000,,,,0.23,,,,,,,,,,0.18,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,
1597207222000,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,
1602732764000,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,
1604125251000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1604324653000,,,,0.32,,,,,,,0.34,,,,,,,,,,,,,,,,,
1604457123000,,0.44,,,,,,1.40,,,,,,,,0.23,,,,,,,,,,,,
1606644580000,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,
1607043153000,,,,,,0.15,,,,,,,,,0.41,,,,,,,,,,,,,
1607640980000,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1608106809000,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1608504061000,,0.16,,,,,,0.59,,,,,,,0.35,,,,,,,,,,,,,
1608569893000,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
