timestamp,​0x419487AeE91B7AEfFde98AE20CC48dAF96867416,​0x6812a7b94829b9556743CAdB81C0e7edc63314E4,​0xeF9FB16eB1900A913985bff4D95dC2b5494d2257,​0xA0d1d205C8Bde213aCD5CcF4EA9F3017bee87187,​0x67DfFC0b00E0b52A3885fD9588a67Df37bDd1413,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x9733AE7EcECA99c8b1dB998a7E8e37Bcb3f68AE2,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x3Fb2F18065926DdB33E7571475c509541d15dA0e,​0x95B9F2F528338b0cDB3F14442837b0e7F05DCEeC,​0x5Cd20F7Dcc6e923596777D5f69797Ca457A690Da,​0x82Ae807dcD2b3838CaFEc70d6D10Eac13Be8Ad02,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xC99497B5E8b80225d2b18038A981c2e024352802,​0x05549D513a5a66AF1E49cD663aAa198A37520AdF,​0x91ca8B1c9B87aca86CFd6289dcB338F186AccF14,​0x82719b2D37459Fa15aaea00Ea90DE60387a1F86d,​0x5cEe2c6745DFD58781492dF5F106fe93A827B7D1,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0x41515102C9fA0acdb22eae08B5e80934A523FCb9,​0xB770E9e376C8e8Cb4aeAfc6E677896c0304A4428,​0x7c00a22C0834980D1a60453365b6e0FdA1e160Ff,​0xc7f5C6b526496184dc372aaad34f60b668d656F3,​0x7b9d8d9178059C36D35490378947bDEf03Cae693,​0xFE6900e80d3fddE4a362b140d6244a2aE09F9FD5,​0x416321f25EE53244c94cF52e9c0C178535d589C8,​0xAa33a39A317104e5b767f21e08Cc6F253693aA73,​0x5Bcaa98334640c2A13B08599feA82fCdcCeAbFF3,​0xE0A953A2EFE4F3D18B1f52d363868615a8D3c855,​0x1eD9Bb102b7709379C76f0E251789010B0D93949,​0x5CE15b68596077bdA41e205E1DD9F1Ac603ABE9B,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x7370b5114E86203F97b6eCBd2820630b0Dc740eE,​0xA12a827DC3a5ac3C2647cE8c6290988549046b84,​0xa1732F06F891c16a62e196588bD6ce356C18DBc1,​0x3d8D17bBF41b40fEf951B0c8688377C4eaa7329f,​0xCc07d411B66Fc8f30dEB8f82b227372910989e4c,​0xB4EFb38701799eB94b97C719Ff26c17D3EA79826,​0xf9cF8775CD6697c1bB52fdbD9625C8f5Fae6c62C,​0xDc71b72dB51E227e65a45004ab2798D31E8934C9,​0x632b57684aDfc7ea49AeB61118914C7130877038,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x0d08F2B57068E75Df540282b7761832253b1349F,​0x945904fcFEB1D07D4CE4883c8968222028dd1202,​0x82334283a7f5452F6918878D3838effEE2eE610A,​0x94Fd39cCFdc25e3F011a6e467Fc85E663311F92D,​0x947a7A57Cdd42Cd35c016C81aeBc58dBf71C9152,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xadB802A87832129dE40052805f3bc9D56689e136,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,Other
1603793902000,,,,,,,,,,,,,,,,,0.94,,0.25,,,,,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,,
1603860005000,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604125251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,,,,,,,,,,
1604257692000,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604390633000,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604457123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,
1604788406000,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604986692000,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605054181000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,
1605187095000,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605252569000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,
1605319158000,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,0.03
1605385703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,
1605451285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,
1605517681000,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,
1605583771000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,
1605650122000,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606247275000,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606513752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,,,,,,,,,,,,,,,
1606579323000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,
1606644580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,
1606711814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,
1607109266000,,,,,,,,0.54,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607176193000,,,,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607309267000,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607375492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.39,,,,,,,,,,,,,,,,,
