timestamp,​0x38FceD6d190f291EBDAE4b262f52cC2695aeFff5,​0x5DD25539CD7D1F162480026F0696BCfCE236858E,​0x6Ad3FcaBb46E5A24932B28427644a0292a71305A,​0x12f934022C86E85339c5572796C2059Ff8695258,​0x9A8828b0613307B5A689022e7Cc2bBc6e4611BDC,​0x7826EA5e012B511Bc5Bb89d70BA92Dcd07332351,​0xfe62ad2613ED201459348B3e8cF9cC430Be02C23,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0x83Ebe2B18dd1196a5b782c12D4273E4621f3cCd9,​0xcdE2556EE31648C402C899108423d942B5d8d080,​0xC646a2f7bdaa13f2279dA26D16F7b69334122819,​0x5b74b82FbBA66DA16334B30F0176cCf8e94Deb2b,​0x132DB8234171Cc9D8A65853cf03D5C0f46C8867e,​0xac6951c2854AC413e59585A2f1524586ddcEabCF,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xc5B3804274ab75ea425130B6Cd38C1E0A905c53A,​0x70f6CBe893d92b61069Fd40Aa9626745de2CfFBD,​0xBfed949505faC872018ee70aD521840E9C05a3Ff,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x931292c42A5F600e80D75B7c7743f0164240882c,​0x79702f972dA429404518ecfA62c7C966557f2231,​0x97deC872013f6B5fB443861090ad931542878126,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,Other
1580579921000,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.06
1580645575000,,,,,,,,0.73,,,,,,,1.15,,,,,,,,,0.03,,0.01
1580711822000,,,,,,,,,,,,,,,1.11,,,,,,,,,,,0.04
1580844182000,,,,,,3.43,,,,,,,,,,,,,,,,,,,,0.16
1580910496000,,,,,1.00,,,,,,,,,,,,,,,,,,,0.01,,0.05
1580977343000,,,2.58,,,4.85,,,0.01,,,,,,,,157.95,,,,,,,0.05,,0.00
1581043789000,,,,,,,,,,,,,,,1.00,,,,,,,,,0.02,,0.00
1581110121000,,,,,,,,,,,,,,4.03,2.00,,,,,,,,,,,0.04
1581177428000,,,,,,,,,,,,,,,,,69.38,,,,,,,69.31,,0.29
1581243665000,,0.03,,,,,,,,,,,,,,,,,,,,,,0.00,,
1581310184000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
1581508790000,,,,,,,,,,,,,,,3.38,,,,,,,,,,,0.00
1581574720000,,,,,,,,,,,,,,,2.69,,,,,,,,,0.01,,0.01
1581641265000,,,,,,,,,,,,,,,2.78,,,,,,,,,,,
1581707956000,,,,,,,,,,,,,,,5.00,,,,,,,,,0.00,,0.02
1581774043000,,,,,,,,,,,,,,,2.75,,,,,,,,,0.00,,0.01
1581841298000,,,,,,,,,,,,,,,1.65,,,,,,,,,,,0.00
1581907086000,,,,,,,,,,,,,,,1.54,,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01
1582040665000,,,,,,,,,0.68,1.88,,,,,,,,,,,,,,,,0.02
1582106715000,,,,,,,,,,1.08,,,,,,,,,,,,,,,,0.05
1582173039000,,,,,,,,,,0.41,,,,,,,,,,,,,,0.01,,
1582240159000,,,,,,,,,,,,,,,,,,,,,,,,0.44,,
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582372667000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,0.39,1.50,0.01
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582837876000,,,,,,,,,,,,,,,,,,,,,,,,0.48,,0.05
1582904573000,,,,,,,,,,,,,,,,,,,,,,0.52,,0.00,,0.05
1582970808000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1583168974000,,,,,,1.10,,,,,,,,,,,,,,,,,,,,0.00
1583235956000,,1.06,,,,,,,,1.03,,,,,,,,,,,,,,,,0.02
1583302077000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01
1583368317000,,,,,,,,,,,0.01,,,,,,,,,,,,,0.21,,
1583435384000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02
1583502285000,,,,,,,,,,0.52,3.65,,,,,,,,,,,,,,,0.01
1583567810000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1583633541000,,,,,,,,,,0.22,,,,,,,,,,,,,,,,0.01
1583699841000,,,,,,,,,,,,,,,,,,,,,,0.86,,,,
1583833348000,,,,,,,,,,1.66,,,,,,,,,,5.58,,1.53,,,0.68,0.18
1583900197000,,,,,,,,,,,,,,,,,,,,,,0.98,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,,0.88,,,1.51,
1584033400000,,,,,,,,,,1.03,,,,,,,,,,,,2.21,,1.48,0.79,0.01
1584100621000,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
1584168330000,,,,,,,,,,1.54,,,,,,,,,,,,2.82,,0.01,,0.10
1584234522000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584300469000,0.50,,,,,,,,,,,,,,,,,,,,,1.98,0.54,0.00,,0.00
1584367227000,,,,,,,,,,,,,,,,,,,,,,4.04,,0.02,,0.12
1584434720000,1.20,,,,,,,,,0.49,,,,,,,,,,,,,,,,0.10
1584500082000,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.02
1584632903000,,,,,,,,,,2.26,,,,,,,,,,,,,,,,0.36
1584766483000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.06
1584833664000,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1584902413000,,,,,,,,,,,,,,,,,,,,,,1.86,0.54,,,0.01
1584970249000,,,,,,,,,,,,,,,,,,0.57,,,,0.77,,,,0.00
1585036977000,,,,,,,,,,,,,,,,,,1.11,,,,,,0.01,,0.02
1585105600000,,,,,,,,,,,,,,,,,,1.45,,,,,,0.02,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1585239172000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585306138000,0.10,,,,,,,,,,,,,,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,0.12,,,,,,,,,,,0.01,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585504149000,,,,,,,,,,,,,0.40,,,,,2.65,,,,,,0.01,,0.06
1585571105000,,,,,,,,,,,,,,,,,,0.85,,,,,,,,0.03
1585637238000,,,,,,,,,,,,,,,,,,0.43,,,,,,,1.38,
1585704243000,,,,,,,,,,,,,,,,,,0.26,,,,,,,,0.00
1585836257000,,,,,,,,,,,,,,,,,,1.31,,,,,,,,
1585903293000,,,,,,,,,,,,,,,,,,2.18,,,,,,,,0.00
1585969610000,,,,,,,,,,,,,,,,,,1.42,,,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1586102872000,,,,,,,,,,,,,,,,,,0.42,,,,,,0.01,,
1586169028000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586236183000,,,,,,,,,,,,,,,,,,4.86,,,,,,2.38,1.65,
1586301955000,,,,,,,,,,,,,,,,,,9.41,,,,,0.53,8.31,,0.00
1586368858000,,,,,,,,,,,,,,,,,,3.49,,,,,0.49,3.06,,0.01
1586434964000,,,,,,,,,,,,,,,,,,1.17,,,,,,,,0.04
1586501245000,,,,,,,,,,,,,,,,,,,,,,0.74,,1.21,,0.02
1586635021000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586701369000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1586767741000,,,,,,,,,,,,,,,,,,1.54,,,,,,,,
1586900049000,,,,0.44,,,,,,,,,,,,,,0.62,,,,,,,,0.01
1586966921000,,,,2.66,,,,,,,,0.80,,,,,,0.29,,,,,,,,0.01
1587033174000,,,,,,,,,,,,,,,,,,4.29,,,,,,,,
