timestamp,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x931292c42A5F600e80D75B7c7743f0164240882c,​0x83Ebe2B18dd1196a5b782c12D4273E4621f3cCd9,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x9A8828b0613307B5A689022e7Cc2bBc6e4611BDC,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0x5b74b82FbBA66DA16334B30F0176cCf8e94Deb2b,​0x6Ad3FcaBb46E5A24932B28427644a0292a71305A,​0xfe62ad2613ED201459348B3e8cF9cC430Be02C23,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x132DB8234171Cc9D8A65853cf03D5C0f46C8867e,​0xcdE2556EE31648C402C899108423d942B5d8d080,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xC646a2f7bdaa13f2279dA26D16F7b69334122819,​0x12f934022C86E85339c5572796C2059Ff8695258,​0x38FceD6d190f291EBDAE4b262f52cC2695aeFff5,​0x70f6CBe893d92b61069Fd40Aa9626745de2CfFBD,​0xac6951c2854AC413e59585A2f1524586ddcEabCF,​0x79702f972dA429404518ecfA62c7C966557f2231,​0x97deC872013f6B5fB443861090ad931542878126,​0xBfed949505faC872018ee70aD521840E9C05a3Ff,​0xc5B3804274ab75ea425130B6Cd38C1E0A905c53A,​0x7826EA5e012B511Bc5Bb89d70BA92Dcd07332351,​0x5DD25539CD7D1F162480026F0696BCfCE236858E,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,Other
1580645575000,,,,,,,1.15,0.73,,,,,,,0.03,,,,,,,,,,,,,0.01
1580711822000,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,0.04
1580844182000,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,,0.16
1580910496000,,,,,,1.00,,,,,,,,,0.01,,,,,,,,,,,,,0.05
1580977343000,,,,0.01,,,,,,2.58,,,,,0.05,,,,157.95,,,,,,4.85,,,0.00
1581043789000,,,,,,,1.00,,,,,,,,0.02,,,,,,,,,,,,,0.00
1581110121000,,,,,,,2.00,,,,,,,,,,,,,4.03,,,,,,,,0.04
1581177428000,,,,,,,,,,,,,,,69.31,,,,69.38,,,,,,,,,0.29
1581243665000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,0.03,,
1581310184000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
1581508790000,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,0.00
1581574720000,,,,,,,2.69,,,,,,,,0.01,,,,,,,,,,,,,0.01
1581641265000,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,
1581707956000,,,,,,,5.00,,,,,,,,0.00,,,,,,,,,,,,,0.02
1581774043000,,,,,,,2.75,,,,,,,,0.00,,,,,,,,,,,,,0.01
1581841298000,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,0.00
1581907086000,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01
1582040665000,,,,0.68,,,,,,,,,,1.88,,,,,,,,,,,,,,0.02
1582106715000,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,0.05
1582173039000,,,,,,,,,,,,,,0.41,0.01,,,,,,,,,,,,,
1582240159000,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582372667000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582705647000,,,,,,,,,,,,1.50,,,0.39,,,,,,,,,,,,,0.01
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582837876000,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,0.05
1582904573000,,,,,,,,,,,,,,,0.00,,,,,,,0.52,,,,,,0.05
1582970808000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1583168974000,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,0.00
1583235956000,,,,,,,,,,,,,,1.03,,,,,,,,,,,,1.06,,0.02
1583302077000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01
1583368317000,,,,,,,,,,,,,,,0.21,0.01,,,,,,,,,,,,
1583435384000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02
1583502285000,,,,,,,,,,,,,,0.52,,3.65,,,,,,,,,,,,0.01
1583567810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1583633541000,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,0.01
1583699841000,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,
1583833348000,,,5.58,,,,,,,,,0.68,,1.66,,,,,,,,1.53,,,,,,0.18
1583900197000,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,
1583966404000,,,,,,,,,,,,1.51,,,,,,,,,,0.88,,,,,,
1584033400000,,,,,,,,,,,,0.79,,1.03,1.48,,,,,,,2.21,,,,,,0.01
1584100621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
1584168330000,,,,,,,,,,,,,,1.54,0.01,,,,,,,2.82,,,,,,0.10
1584234522000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584300469000,,,,,,,,,,,,,,,0.00,,,0.50,,,,1.98,,,,,0.54,0.00
1584367227000,,,,,,,,,,,,,,,0.02,,,,,,,4.04,,,,,,0.12
1584434720000,,,,,,,,,,,,,,0.49,,,,1.20,,,,,,,,,,0.10
1584500082000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1584566455000,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,0.02
1584632903000,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,0.36
1584766483000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.06
1584833664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1584902413000,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,0.54,0.01
1584970249000,,,,,,,,,,,,,,,,,,,,,,0.77,0.57,,,,,0.00
1585036977000,,,,,,,,,,,,,,,0.01,,,,,,,,1.11,,,,,0.02
1585105600000,,,,,,,,,,,,,,,0.02,,,,,,,,1.45,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1585239172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585306138000,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,
1585372283000,,,,,,,,,,,,,0.12,,0.01,,,,,,,,,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585504149000,,,,,,,,,,,,,0.40,,0.01,,,,,,,,2.65,,,,,0.06
1585571105000,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,0.03
1585637238000,,,,,,,,,,,,1.38,,,,,,,,,,,0.43,,,,,
1585704243000,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,0.00
1585836257000,,,,,,,,,,,,,,,,,,,,,,,1.31,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,0.00
1585969610000,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1586102872000,,,,,,,,,,,,,,,0.01,,,,,,,,0.42,,,,,
1586169028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586236183000,,,,,,,,,,,,1.65,,,2.38,,,,,,,,4.86,,,,,
1586301955000,,,,,,,,,,,,,,,8.31,,,,,,,,9.41,,,,0.53,0.00
1586368858000,,,,,,,,,,,,,,,3.06,,,,,,,,3.49,,,,0.49,0.01
1586434964000,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,0.04
1586501245000,,,,,,,,,,,,,,,1.21,,,,,,,0.74,,,,,,0.02
1586635021000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586701369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1586767741000,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,
1586900049000,,,,,,,,,,,,,,,,,0.44,,,,,,0.62,,,,,0.01
1586966921000,,,,,,,,,0.80,,,,,,,,2.66,,,,,,0.29,,,,,0.01
1587033174000,,,,,,,,,,,,,,,,,,,,,,,4.29,,,,,
1587099968000,,,,,,,,,,,,,0.46,,,,,,,,,,0.38,,,,,0.00
1587167698000,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587234387000,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1587300847000,1.26,,,,,,,,,,,,,,0.00,,,,,,,0.39,,,,,,0.04
1587368133000,3.75,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.52,0.22
1587434258000,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,
1587501138000,2.03,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,
1587568237000,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
